Customer_ID,Gender,Age,Married,State,Number_of_Referrals,Tenure_in_Months,Value_Deal,Phone_Service,Multiple_Lines,Internet_Service,Internet_Type,Online_Security,Online_Backup,Device_Protection_Plan,Premium_Support,Streaming_TV,Streaming_Movies,Streaming_Music,Unlimited_Data,Contract,Paperless_Billing,Payment_Method,Monthly_Charge,Total_Charges,Total_Refunds,Total_Extra_Data_Charges,Total_Long_Distance_Charges,Total_Revenue,Customer_Status,Churn_Category,Churn_Reason,Customer_Status_Predicted
12340-DEL,Female,51,Yes,Delhi,0,10,None,Yes,No,Yes,Cable,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,62.79999924,62.79999924,0.0,0,42.18999863,104.9899979,Joined,Others,Others,1
16733-ODI,Female,76,Yes,Odisha,10,1,None,Yes,No,Yes,DSL,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,45.84999847,45.84999847,0.0,0,40.38000107,86.23000336,Joined,Others,Others,1
17796-BIH,Female,65,No,Bihar,5,1,None,Yes,No,Yes,Cable,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,48.45000076,48.45000076,0.0,0,16.42000008,64.87000275,Joined,Others,Others,1
24990-WES,Female,36,No,West Bengal,8,24,None,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,71.65000153,135.75,0.0,0,58.06000137,193.8099976,Joined,Others,Others,1
26500-GUJ,Female,62,Yes,Gujarat,3,19,Deal 5,Yes,No,Yes,Cable,Yes,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Mailed Check,62.15000153,113.0999985,0.0,0,96.77999878,209.8800049,Joined,Others,Others,1
26902-TEL,Male,52,Yes,Telangana,7,2,None,Yes,No,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,95.84999847,95.84999847,0.0,0,2.700000048,98.55000305,Joined,Others,Others,1
28266-JAM,Male,32,No,Jammu & Kashmir,6,1,None,No,No,Yes,DSL,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,25.35000038,25.35000038,0.0,0,0.0,25.35000038,Joined,Others,Others,1
28681-HAR,Female,33,No,Haryana,4,2,None,Yes,No,Yes,Fiber Optic,No,No,Yes,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,75.55000305,75.55000305,0.0,0,7.110000134,82.66000366,Joined,Others,Others,1
31129-AND,Male,68,No,Andhra Pradesh,15,15,None,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,70.34999847,70.34999847,0.0,10,14.42000008,94.76999664,Joined,Others,Others,1
37131-MAH,Male,52,No,Maharashtra,6,2,None,Yes,No,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,89.25,89.25,0.0,0,16.63999939,105.8899994,Joined,Others,Others,1
